,Unnamed: 0,Lat,Lon,Bathy
222,444,-79,-96,-1705.0
223,445,-79,-95,-1513.5
224,446,-79,-94,-934.5
225,448,-79,-92,-565.75
226,457,-79,-83,-1365.75
227,458,-79,-82,-1387.5
228,459,-79,-81,-1600.0
229,460,-79,-80,-1517.0
230,461,-79,-79,-1380.75
231,462,-79,-78,-1199.5
232,463,-79,-77,-1305.5
233,464,-79,-76,-1244.0
234,465,-79,-75,-1285.5
235,466,-79,-74,-1288.5
236,467,-79,-73,-1245.0
237,468,-79,-72,-1135.25
238,469,-79,-71,-559.0
239,473,-79,-67,-517.0
240,474,-79,-66,-579.0
241,475,-79,-65,-625.0
242,476,-79,-64,-629.0
243,477,-79,-63,-636.0
244,478,-79,-62,-676.0
245,479,-79,-61,-712.75
246,480,-79,-60,-755.25
247,481,-79,-59,-804.0
248,482,-79,-58,-864.5
249,483,-79,-57,-863.0
250,484,-79,-56,-861.5
251,485,-79,-55,-847.0
252,486,-79,-54,-771.0
253,487,-79,-53,-691.5
254,488,-79,-52,-617.75
255,489,-79,-51,-527.0
256,490,-79,-50,-526.5
257,497,-79,-43,-705.0
258,498,-79,-42,-1029.75
259,499,-79,-41,-1245.25
260,500,-79,-40,-1296.75
261,501,-79,-39,-1177.5
262,502,-79,-38,-1061.5
263,503,-79,-37,-930.75
264,504,-79,-36,-713.0
265,505,-79,-35,-757.75
266,506,-79,-34,-709.75
267,507,-79,-33,-534.0
268,508,-79,-32,-620.5
269,509,-79,-31,-793.5
270,510,-79,-30,-1417.25
271,511,-79,-29,-1266.0
272,520,-79,-20,-537.0
273,522,-79,-18,-628.5
274,524,-79,-16,-698.75
275,525,-79,-15,-534.0
276,530,-79,-10,-578.5
277,532,-79,-8,-902.75
278,533,-79,-7,-675.5
279,534,-79,-6,-862.0
280,535,-79,-5,-819.25
281,536,-79,-4,-685.25
282,538,-79,-2,-556.75
283,539,-79,-1,-550.5
284,683,-79,143,-513.7500000000034
285,700,-79,160,-1483.49999999985
286,703,-79,163,-629.5
287,704,-79,164,-767.5000000000068
288,705,-79,165,-968.7500000000102
289,706,-79,166,-1068.9999999999864
290,707,-79,167,-908.5
291,708,-79,168,-863.5
292,709,-79,169,-876.0
293,710,-79,170,-750.2499999999966
294,711,-79,171,-791.0
295,712,-79,172,-828.5
296,713,-79,173,-725.5
297,714,-79,174,-567.9999999999932
298,716,-79,176,-611.2500000000034
299,717,-79,177,-686.0000000000068
300,718,-79,178,-774.5
301,719,-79,179,-760.5
302,720,-78,-180,-669.5
303,721,-78,-179,-715.0
304,722,-78,-178,-660.0
305,723,-78,-177,-609.5
306,724,-78,-176,-578.0
307,725,-78,-175,-537.5
308,726,-78,-174,-536.25
309,729,-78,-171,-523.0
310,730,-78,-170,-539.0
311,731,-78,-169,-583.25
312,732,-78,-168,-574.0
313,733,-78,-167,-543.25
314,736,-78,-164,-574.0
315,737,-78,-163,-630.0
316,738,-78,-162,-637.75
317,739,-78,-161,-689.25
318,740,-78,-160,-645.5
319,747,-78,-153,-792.0
320,748,-78,-152,-528.0
321,754,-78,-146,-621.25
322,757,-78,-143,-610.5
323,758,-78,-142,-804.75
324,759,-78,-141,-552.0
325,760,-78,-140,-621.25
